subject,version,assignmentId,attribute,scale,min_diff,lb,ub,postfix,stamp,id
xxx,ma_choice_v4_real1,,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/6/22 12:36,18145
xxx,ma_choice_v4_real1,,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/6/22 12:36,18146
xxx,ma_choice_v4_real1,,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/6/22 12:36,18147
xxx,ma_choice_v4_real1,,Size of home,,200,600,1800, square feet,6/6/22 12:36,18148
xxx,ma_choice_v4_real1,,Size of yard,,150,0,600, square feet,6/6/22 12:36,18149
xxx,ma_choice_v4_real1,,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,,,,6/6/22 12:36,18150
xxx,ma_choice_v4_real1,,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/6/22 12:36,18151
xxx,ma_choice_v4_real1,,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,,,,6/6/22 12:36,18152
xxx,ma_choice_v4_real1,,Amount of natural light,"Very Little,A Little,A Moderate Amount,A Lot",2,,,,6/6/22 12:36,18153
xxx,ma_choice_v4_real1,,Year building was built,,20,1950,2020,,6/6/22 12:36,18154
xxx,ma_choice_v4_real1,,Closeness to cafes/restaurants,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/6/22 12:36,18155
xxx,ma_choice_v4_real1,,Closeness to public transportation,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/6/22 12:36,18156
999,ma_choice_v4_real1,,Year building was built,,20,1950,2020,,6/13/22 17:21,19498
999,ma_choice_v4_real1,,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/13/22 17:21,19499
999,ma_choice_v4_real1,,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/13/22 17:21,19500
999,ma_choice_v4_real1,,Size of yard,,150,0,600, square feet,6/13/22 17:21,19501
999,ma_choice_v4_real1,,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/13/22 17:21,19502
999,ma_choice_v4_real1,,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,,,,6/13/22 17:21,19503
999,ma_choice_v4_real1,,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,,,,6/13/22 17:21,19504
999,ma_choice_v4_real1,,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/13/22 17:21,19505
999,ma_choice_v4_real1,,Size of home,,200,600,1800, square feet,6/13/22 17:21,19506
999,ma_choice_v4_real1,,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/14/22 19:40,19516
999,ma_choice_v4_real1,,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/14/22 19:40,19517
999,ma_choice_v4_real1,,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/14/22 19:40,19518
999,ma_choice_v4_real1,,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,,,,6/14/22 19:40,19519
999,ma_choice_v4_real1,,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,,,,6/14/22 19:40,19520
999,ma_choice_v4_real1,,Year building was built,,20,1950,2020,,6/14/22 19:40,19521
999,ma_choice_v4_real1,,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/14/22 19:40,19522
999,ma_choice_v4_real1,,Size of home,,200,600,1800, square feet,6/14/22 19:40,19523
999,ma_choice_v4_real1,,Size of yard,,150,0,600, square feet,6/14/22 19:40,19524
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/16/22 18:04,20209
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:04,20210
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,,,,6/16/22 18:04,20211
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Size of yard,,150,0,600, square feet,6/16/22 18:04,20212
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Year building was built,,20,1950,2020,,6/16/22 18:04,20213
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:04,20214
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:04,20215
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,,,,6/16/22 18:04,20216
616ef9447d637785780d7343,ma_choice_v4_real1,616ef9447d637785780d7343,Size of home,,200,600,1800, square feet,6/16/22 18:04,20217
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:31,20218
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:31,20219
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Size of yard,,150,0,600, square feet,6/16/22 18:31,20220
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:31,20221
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,,,,6/16/22 18:31,20222
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Year building was built,,20,1950,2020,,6/16/22 18:31,20223
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/16/22 18:31,20224
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Size of home,,200,600,1800, square feet,6/16/22 18:31,20225
60fd0c0177cf82998b783603,ma_choice_v4_real1,60fd0c0177cf82998b783603,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,,,,6/16/22 18:31,20226
5a198755f2e3460001edc5c9,ma_choice_v4_real1,5a198755f2e3460001edc5c9,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:39,20236
5a198755f2e3460001edc5c9,ma_choice_v4_real1,5a198755f2e3460001edc5c9,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,,,,6/16/22 18:39,20237
5a198755f2e3460001edc5c9,ma_choice_v4_real1,5a198755f2e3460001edc5c9,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,,,,6/16/22 18:39,20238
5a198755f2e3460001edc5c9,ma_choice_v4_real1,5a198755f2e3460001edc5c9,Size of home,,200,600,1800, square feet,6/16/22 18:39,20239
5a198755f2e3460001edc5c9,ma_choice_v4_real1,5a198755f2e3460001edc5c9,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,,,,6/16/22 18:39,20240
5a198755f2e3460001edc5c9,ma_choice_v4_real1,5a198755f2e3460001edc5c9,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,,,,6/16/22 18:39,20241
