subject,version,assignmentId,attribute,scale,min_diff,lb,ub,postfix,stamp,id
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-06-27 16:38:55,33179
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,"","","",2022-06-27 16:38:55,33180
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:38:55,33181
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Size of yard,"",150,0,600, square feet,2022-06-27 16:38:55,33182
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:38:55,33183
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-06-27 16:38:55,33184
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Size of home,"",200,600,1800, square feet,2022-06-27 16:38:55,33185
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Year building was built,"",20,1950,2020,"",2022-06-27 16:38:55,33186
60fde71d08e32b4b5bbdfc38,ma_choice_v4_rand_real1,60fde71d08e32b4b5bbdfc38,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:38:55,33187
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-06-27 16:53:00,33215
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:53:00,33216
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Size of yard,"",150,0,600, square feet,2022-06-27 16:53:00,33217
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Year building was built,"",20,1950,2020,"",2022-06-27 16:53:00,33218
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:53:00,33219
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,"","","",2022-06-27 16:53:00,33220
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-06-27 16:53:00,33221
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Size of home,"",200,600,1800, square feet,2022-06-27 16:53:00,33222
59014ee029f42300013cc5b7,ma_choice_v4_rand_real1,59014ee029f42300013cc5b7,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:53:00,33223
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:56:22,33224
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:56:22,33225
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Size of home,"",200,600,1800, square feet,2022-06-27 16:56:22,33226
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-06-27 16:56:22,33227
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-06-27 16:56:22,33228
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Year building was built,"",20,1950,2020,"",2022-06-27 16:56:22,33229
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Size of yard,"",150,0,600, square feet,2022-06-27 16:56:22,33230
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,"","","",2022-06-27 16:56:22,33231
5d57062817ee8d0001cda0f6,ma_choice_v4_rand_real1,5d57062817ee8d0001cda0f6,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:56:22,33232
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Year building was built,"",20,1950,2020,"",2022-06-27 16:57:44,33242
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:57:44,33243
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-06-27 16:57:44,33244
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,"","","",2022-06-27 16:57:44,33245
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-06-27 16:57:44,33246
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Size of yard,"",150,0,600, square feet,2022-06-27 16:57:44,33247
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:57:44,33248
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Size of home,"",200,600,1800, square feet,2022-06-27 16:57:44,33249
60469ae0450a7a0d20d26ee8,ma_choice_v4_rand_real1,60469ae0450a7a0d20d26ee8,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:57:44,33250
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Year building was built,"",20,1950,2020,"",2022-06-27 16:59:29,33251
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:59:29,33252
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:59:29,33253
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:59:29,33254
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Size of yard,"",150,0,600, square feet,2022-06-27 16:59:29,33255
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Amount of traffic,"Very Little,A Little,A Moderate Amount,A Lot",2,"","","",2022-06-27 16:59:29,33256
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Size of home,"",200,600,1800, square feet,2022-06-27 16:59:29,33257
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-06-27 16:59:29,33258
60814160d0e44b2394108d4c,ma_choice_v4_rand_real1,60814160d0e44b2394108d4c,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,"","","",2022-06-27 16:59:29,33259
5e76c87c0fd39b22d52eba04,ma_choice_v4_rand_real1,5e76c87c0fd39b22d52eba04,Reputation of closest school,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:59:54,33260
5e76c87c0fd39b22d52eba04,ma_choice_v4_rand_real1,5e76c87c0fd39b22d52eba04,Closeness to parks,"10 min away,15 min away,20 min away,25 min away,30 min away",2,"","","",2022-06-27 16:59:54,33261
5e76c87c0fd39b22d52eba04,ma_choice_v4_rand_real1,5e76c87c0fd39b22d52eba04,Year building was built,"",20,1950,2020,"",2022-06-27 16:59:54,33262
5e76c87c0fd39b22d52eba04,ma_choice_v4_rand_real1,5e76c87c0fd39b22d52eba04,Quality of heat/AC system,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:59:54,33263
5e76c87c0fd39b22d52eba04,ma_choice_v4_rand_real1,5e76c87c0fd39b22d52eba04,Noise pollution,"Very Low,Low,Moderate,High,Very High",2,"","","",2022-06-27 16:59:54,33264
5e76c87c0fd39b22d52eba04,ma_choice_v4_rand_real1,5e76c87c0fd39b22d52eba04,Quality of kitchen,"Very Bad,Bad,Moderate,Good,Very Good",2,"","","",2022-06-27 16:59:54,33265
